route_ref,highway_type,lanes,maxspeed_kmh,length_km,midpoint_lat,midpoint_lon
232,primary,2,90.0,1.495,31.25573,34.40042
232,primary,2,90.0,0.01,31.25722,34.40351
232,primary,2,90.0,0.114,31.25675,34.40244
232,primary,2,90.0,0.532,31.25793,34.40541
232,primary,2,90.0,0.031,31.25729,34.40366
232,primary,2,90.0,0.009,31.25665,34.40256
232,primary,2,90.0,2.925,31.25007,34.38651
232,primary,2,90.0,0.114,31.25713,34.40362
232,primary,2,90.0,0.039,31.25659,34.40241
232,primary,,,0.704,31.53295,34.61239
232,primary,,,0.817,31.5222,34.60287
232,primary,,,0.008,31.52959,34.61035
232,primary,,,0.03,31.55824,34.63306
232,primary,,,0.016,31.5583,34.63327
232,primary,,,0.017,31.55623,34.63137
232,primary,,,0.784,31.52667,34.60806
232,primary,,,0.036,31.52399,34.60471
232,primary,,,0.008,31.51448,34.59738
232,primary,,,0.018,31.51446,34.59725
232,primary,,,0.023,31.51335,34.59653
232,primary,,,0.055,31.72185,34.63975
232,primary,,,0.023,31.72192,34.63944
232,primary,,,0.005,31.72179,34.63943
232,primary,,,0.078,31.5239,34.6048
232,primary,,,0.01,31.52394,34.60485
232,primary,,,0.07,31.52437,34.60545
232,primary,,,0.702,31.52648,34.60805
232,primary,,,0.044,31.5295,34.6103
232,primary,,,0.617,31.50918,34.59063
232,primary,,,0.015,31.51326,34.59682
232,primary,,,0.02,31.51344,34.59672
232,primary,,,0.015,31.51458,34.59747
232,primary,,,0.023,31.51471,34.59737
232,primary,,,0.564,31.47223,34.53079
232,primary,,,0.03,31.47397,34.53321
232,primary,,,0.261,31.47496,34.53463
232,primary,,,2.408,31.48218,34.54517
232,primary,,,1.686,31.50429,34.55423
232,primary,,,0.817,31.50606,34.55786
232,primary,,,2.242,31.5054,34.58218
232,primary,,,0.039,31.50854,34.58623
232,primary,,,0.026,31.55617,34.63168
232,primary,,,0.018,31.55633,34.63159
232,primary,,,0.007,31.55805,34.6332
232,primary,,,0.022,31.55811,34.63333
232,primary,,,0.004,31.55824,34.63334
232,primary,,,2.759,31.3788,34.44733
232,primary,,,0.058,31.36181,34.45023
232,primary,,,0.044,31.36232,34.45034
232,primary,,,6.097,31.2721,34.43301
232,primary,,,1.967,31.64557,34.66325
232,primary,,,1.475,31.56625,34.64052
232,primary,,,0.01,31.55633,34.63145
232,primary,,,0.004,31.55613,34.6314
232,primary,,,0.025,31.51344,34.59684
232,primary,,,2.24,31.50554,34.58227
232,primary,,,0.074,31.39898,34.47331
232,primary,,,0.187,31.39948,34.47382
232,primary,,,0.031,31.52405,34.60479
232,primary,,,0.086,31.51731,34.59884
232,primary,,,0.077,31.51676,34.59846
234,primary,,,10.642,31.36019,34.48874
234,primary,,,0.956,31.31439,34.52682
234,primary,,,2.985,31.29737,34.53617
234,primary,,,8.711,31.22494,34.54168
234,primary,,,0.053,31.31654,34.52512
234,primary,,,0.077,31.31618,34.52623
240,primary,,,1.196,31.23013,34.33459
240,primary,,,2.262,31.2457,34.33254
241,primary,,,2.964,31.32779,34.63137
241,primary,,,0.476,31.31685,34.59771
241,primary,,,0.664,31.32336,34.62085
