alert_rank_alltime,alert_rank_marapr2026,lat,lon,road,risk_score,lanes_weight,alerts_alltime_15km,alerts_marapr2026_15km,status,relocated_from_lat,relocated_from_lon,nearest_city,moved_km
171,170,31.3713,34.78307,310,2.0,1.5,1717,1062,rural,,,,
172,171,31.33837,34.78876,40,1.8,1.5,1717,1062,rural,,,,
173,173,31.21741,34.80488,406,2.0,2.0,1696,1014,rural,,,,
174,174,31.2753,34.79632,406,2.0,2.0,1696,1014,relocated,31.26317,34.79811,באר שבע,1.36
175,175,31.20055,34.91648,25,1.8,1.5,1696,1014,rural,,,,
176,176,31.24566,34.82904,40,1.8,1.5,1696,1014,rural,,,,
177,177,31.12895,34.80902,40,1.8,1.5,1696,1014,rural,,,,
178,178,31.2926,34.92277,31,1.8,1.5,1696,1014,rural,,,,
179,179,31.28247,34.82577,40,1.8,1.5,1696,1014,rural,,,,
180,180,31.21811,34.86529,25,1.8,1.5,1696,1014,rural,,,,
181,184,31.49691,34.68572,334,2.0,1.0,1489,827,rural,,,,
182,172,32.76606,35.40873,65,4.0,1.5,1480,1032,rural,,,,
183,185,31.31102,34.78834,406,2.0,2.0,1372,789,rural,,,,
184,186,31.3318,34.69961,264,2.0,1.5,1372,789,rural,,,,
185,187,31.342,34.72372,310,2.0,1.5,1372,789,rural,,,,
186,188,31.27642,34.73491,25,1.8,1.5,1372,789,rural,,,,
187,189,31.25975,34.75566,25,1.8,1.5,1372,789,rural,,,,
188,169,31.57875,34.8074,6,1.5,1.5,1364,1067,rural,,,,
189,182,32.66829,34.93734,2,1.5,2.0,1287,889,rural,,,,
190,225,31.41611,34.60849,293,4.0,1.5,1273,211,rural,,,,
191,183,32.61172,35.08374,672,2.0,1.5,1264,875,rural,,,,
192,191,32.88314,35.66072,92,4.0,1.0,1184,765,rural,,,,
193,181,31.53723,34.76673,40,1.8,1.5,1162,973,rural,,,,
194,190,31.38652,34.87779,358,2.0,1.0,999,772,rural,,,,
195,192,32.6407,34.95852,4,1.8,1.5,949,662,rural,,,,
196,195,32.54495,34.91657,2,1.5,2.0,853,587,rural,,,,
197,196,32.54428,34.96693,654,2.0,1.0,853,587,rural,,,,
198,197,31.2012,35.35995,90,1.8,1.5,697,536,rural,,,,
199,198,32.54162,35.43778,71,1.8,1.5,692,510,rural,,,,
200,199,32.55679,35.37694,71,1.8,1.5,692,510,rural,,,,
