lat,lon,road,risk_score,lanes_weight,nearby_alerts_15km,alert_rank
33.0973844,35.6429834,918,4.0,1.5,10512,252
32.74534228404676,35.08033188101299,75,1.8,1.5,10462,253
32.43830784690472,34.91049922624896,4,1.8,1.5,10434,254
32.4159165,35.0084638,581,2.0,1.0,10162,255
32.8605588,35.3765609,805,2.5,1.0,10137,256
31.6657774,34.6065467,35,1.8,1.5,9893,257
33.054920049060726,35.46495633279518,899,4.0,1.5,9832,258
32.723711,35.0586133,672,2.0,1.5,9817,259
32.7390249,35.136761,762,2.0,1.5,9753,260
33.0177092,35.4764103,886,4.0,1.0,9670,261
32.758697347315945,35.02100869044145,672,2.0,1.5,9167,262
32.696607,35.0528403,672,2.0,1.5,9044,263
32.69698,35.0543826,672,2.0,1.5,9044,264
32.725796568024236,35.20244359794104,77,1.8,1.5,8906,265
33.04373973440026,35.571714135322544,90,4.0,1.5,8825,266
32.7215081,35.1121331,75,1.8,1.5,8813,267
32.6928816,35.0478759,672,2.0,1.5,8730,268
32.44711536041167,34.954520139572736,65,1.8,1.5,8675,269
32.79078481281026,35.00092372128914,23,1.8,1.5,8664,270
32.8811694,35.4255189,807,2.5,1.0,8491,271
31.652324,34.6632875,232,2.0,1.0,8219,272
32.988479326258144,35.483808600614175,89,4.0,1.5,8056,273
32.70578166702114,35.17466798808816,75,1.8,1.5,7988,274
32.700316530235845,35.101522767258984,6,1.5,1.5,7740,275
32.7898775,34.9867424,672,2.0,1.5,7704,276
32.9899741,35.562177,91,4.0,1.5,7556,277
32.9666929831624,35.549604799785044,90,4.0,1.5,7556,278
32.98824950584347,35.560438252384834,90,4.0,1.5,7556,279
33.03371876732018,35.57236986023387,90,4.0,1.5,7531,280
32.454341169096324,34.94074634177138,65,1.8,1.5,7479,281
32.8079408,34.977305,672,2.0,1.5,7391,282
31.61153220757528,34.70348301062444,352,2.0,1.0,7366,283
32.731838365110754,35.27113551715458,79,1.8,1.5,7280,284
32.8390937,35.3979735,806,2.5,1.5,7188,285
32.813569,34.9668909,672,2.0,1.5,7077,286
32.6789176814908,35.11712096578999,722,2.0,1.5,7032,287
32.69408527005533,35.224480467862676,75,1.8,1.5,7002,288
32.7298222,35.2841425,700,2.0,1.0,6653,289
32.7941858,34.9608643,4,1.8,1.5,6634,290
32.9522321,35.5376741,89,4.0,1.5,6589,291
32.4605324,34.9855091,652,2.0,1.5,6456,292
32.6802781,35.0643452,672,2.0,1.5,6408,293
32.6742188,35.1075465,66,1.8,1.0,6376,294
32.45512315572754,34.90716127092982,4,1.8,1.5,6200,295
32.91129402036175,35.47879794579771,85,4.0,1.5,5928,296
32.46220464453885,34.89597483520745,2,1.5,2.0,5801,297
32.77177235936389,34.955176455624226,2,1.5,2.0,5637,298
32.8096046,35.398027,785,2.5,1.0,5564,299
32.7603682,35.3457548,754,2.0,1.5,5496,300
32.85906183180816,35.45390879492908,65,4.0,1.5,5481,301
32.85842558621764,35.45361105946824,65,4.0,1.5,5481,302
