alert_rank,aadt_rank,lat,lon,road,risk_score,lanes_weight,aadt_vehicles_per_day,nearby_alerts_15km
214,424,32.8047591,35.2531465,784,2.0,1.0,8000,15370
215,371,32.3967507,34.9261783,581,2.0,1.0,8000,15353
216,181,32.787674697637186,35.19806003032284,79,1.8,1.5,18000,15084
217,580,33.1217309,35.5689318,899,4.0,1.5,3500,15024
218,40,32.7776371,35.1304571,6,1.5,1.5,48000,14516
219,273,33.1114184,35.57241,90,4.0,1.5,9000,14512
220,384,32.8007534,35.0759512,772,2.0,1.5,8000,14454
221,464,32.8020933,35.0756636,772,2.0,1.5,8000,14454
222,71,32.80872107036047,35.06727563794586,4,4.0,1.5,40000,14142
223,350,31.6871427,35.0005348,375,2.0,1.0,8000,14132
224,208,31.6893806,34.9452136,38,1.8,1.5,14000,14118
225,245,32.40955294762806,34.90655238605616,9,1.5,2.0,13000,13929
226,385,32.789671,35.0771117,772,2.0,1.5,8000,13499
227,585,33.110978447537455,35.52242310932507,899,4.0,1.5,3500,13140
228,219,31.684019519913033,34.946971123456066,38,1.8,1.5,14000,13139
229,439,33.0934847,35.5508057,886,4.0,1.0,8000,13052
230,584,33.05654783891944,35.34287806267837,899,4.0,1.5,3500,12907
231,448,31.67995201007523,34.89796857432471,353,2.0,1.0,8000,12891
232,582,33.026102,35.4052075,899,4.0,1.5,3500,12689
233,189,32.76808105539662,35.225735699597045,79,1.8,1.5,18000,12438
234,203,32.921254,35.4199923,85,4.0,1.5,15000,12335
235,204,32.92215770048255,35.41759929800555,85,4.0,1.5,15000,12335
236,454,32.8474956,35.3374729,804,2.0,1.0,8000,12068
237,170,32.76225620002427,35.088862301533744,70,4.0,1.5,20000,11992
238,387,32.9370986,35.4334603,866,4.0,1.0,8000,11976
239,383,32.7597867,35.0777252,772,2.0,1.5,8000,11681
240,583,33.08541815558415,35.483716153476244,899,4.0,1.5,3500,11580
241,388,32.983253,35.443643,866,4.0,1.0,8000,11561
242,173,32.76640312402676,35.24830307087988,77,1.8,1.5,19000,11426
243,485,32.9373473,35.4378281,866,4.0,1.0,8000,11328
244,509,33.062939925129015,35.50490748877646,886,4.0,1.0,8000,11300
245,473,32.765842956162444,35.052788369673166,752,1.8,1.5,8000,11049
246,524,32.767842633999415,35.05111659739909,752,1.8,1.5,8000,11049
247,279,33.0201903,35.4392595,89,4.0,1.5,9000,10770
248,85,32.80622220584033,35.01480501759874,22,1.5,1.5,35000,10648
249,252,31.66082344998263,34.640626944562364,35,1.8,1.5,11000,10606
250,172,32.77303369992547,35.28043871188423,77,1.8,1.5,19000,10601
251,222,32.4136019,35.0084359,9,1.5,2.0,13000,10534
252,369,33.0973844,35.6429834,918,4.0,1.5,8000,10512
253,214,32.74534228404676,35.08033188101299,75,1.8,1.5,14000,10462
254,65,32.43830784690472,34.91049922624896,4,1.8,1.5,40000,10434
255,373,32.4159165,35.0084638,581,2.0,1.0,8000,10162
256,550,32.8605588,35.3765609,805,2.5,1.0,8000,10137
257,250,31.6657774,34.6065467,35,1.8,1.5,11000,9893
258,586,33.054920049060726,35.46495633279518,899,4.0,1.5,3500,9832
259,522,32.723711,35.0586133,672,2.0,1.5,8000,9817
260,459,32.7390249,35.136761,762,2.0,1.5,8000,9753
261,389,33.0177092,35.4764103,886,4.0,1.0,8000,9670
262,443,32.758697347315945,35.02100869044145,672,2.0,1.5,8000,9167
263,363,32.696607,35.0528403,672,2.0,1.5,8000,9044
264,401,32.69698,35.0543826,672,2.0,1.5,8000,9044
265,176,32.725796568024236,35.20244359794104,77,1.8,1.5,19000,8906
266,312,33.04373973440026,35.571714135322544,90,4.0,1.5,9000,8825
267,216,32.7215081,35.1121331,75,1.8,1.5,14000,8813
268,360,32.6928816,35.0478759,672,2.0,1.5,8000,8730
269,106,32.44711536041167,34.954520139572736,65,1.8,1.5,24000,8675
270,541,32.79078481281026,35.00092372128914,23,1.8,1.5,8000,8664
271,423,32.8811694,35.4255189,807,2.5,1.0,8000,8491
272,567,31.652324,34.6632875,232,2.0,1.0,7000,8219
273,295,32.988479326258144,35.483808600614175,89,4.0,1.5,9000,8056
274,218,32.70578166702114,35.17466798808816,75,1.8,1.5,14000,7988
275,29,32.700316530235845,35.101522767258984,6,1.5,1.5,48000,7740
276,498,32.7898775,34.9867424,672,2.0,1.5,8000,7704
277,321,32.9899741,35.562177,91,4.0,1.5,8000,7556
278,283,32.9666929831624,35.549604799785044,90,4.0,1.5,9000,7556
279,289,32.98824950584347,35.560438252384834,90,4.0,1.5,9000,7556
280,300,33.03371876732018,35.57236986023387,90,4.0,1.5,9000,7531
281,120,32.454341169096324,34.94074634177138,65,1.8,1.5,24000,7479
282,411,32.8079408,34.977305,672,2.0,1.5,8000,7391
283,538,31.61153220757528,34.70348301062444,352,2.0,1.0,8000,7366
284,186,32.731838365110754,35.27113551715458,79,1.8,1.5,18000,7280
285,494,32.8390937,35.3979735,806,2.5,1.5,8000,7188
286,526,32.813569,34.9668909,672,2.0,1.5,8000,7077
287,514,32.6789176814908,35.11712096578999,722,2.0,1.5,8000,7032
288,221,32.69408527005533,35.224480467862676,75,1.8,1.5,14000,7002
289,357,32.7298222,35.2841425,700,2.0,1.0,8000,6653
290,47,32.7941858,34.9608643,4,1.8,1.5,40000,6634
291,268,32.9522321,35.5376741,89,4.0,1.5,9000,6589
292,515,32.4605324,34.9855091,652,2.0,1.5,8000,6456
293,362,32.6802781,35.0643452,672,2.0,1.5,8000,6408
294,403,32.6742188,35.1075465,66,1.8,1.0,8000,6376
295,58,32.45512315572754,34.90716127092982,4,1.8,1.5,40000,6200
296,207,32.91129402036175,35.47879794579771,85,4.0,1.5,15000,5928
297,14,32.46220464453885,34.89597483520745,2,1.5,2.0,75000,5801
298,12,32.77177235936389,34.955176455624226,2,1.5,2.0,75000,5637
299,390,32.8096046,35.398027,785,2.5,1.0,8000,5564
300,393,32.7603682,35.3457548,754,2.0,1.5,8000,5496
301,114,32.85906183180816,35.45390879492908,65,4.0,1.5,24000,5481
302,115,32.85842558621764,35.45361105946824,65,4.0,1.5,24000,5481
303,60,32.72549547105951,34.96620748813075,4,1.8,1.5,40000,5154
304,428,32.7141003,34.970596,721,2.0,1.5,8000,5154
305,493,33.0136403,35.622721,918,4.0,1.5,8000,5131
306,542,33.01361003173228,35.62435994067607,91,4.0,1.5,8000,5131
307,431,32.47906357685985,34.95469624151248,651,2.0,1.5,8000,4947
308,201,32.9137221,35.5428973,85,4.0,1.5,15000,4934
309,305,32.91246570140082,35.54497445569641,90,4.0,1.5,9000,4934
310,573,31.58308332733476,34.646713870675626,232,2.0,1.0,7000,4818
311,52,32.7041149,34.9692594,4,1.8,1.5,40000,4808
312,82,31.64417785662297,34.59254314244047,4,1.8,1.5,40000,4772
313,142,31.610438526142964,34.74960326199633,40,1.8,1.5,22000,4759
314,412,31.5687768,34.6433028,352,2.0,1.0,8000,4500
315,251,31.624377720982224,34.75972529865518,35,1.8,1.5,11000,4446
316,475,32.7161644,35.2989437,700,2.0,1.0,8000,4442
317,45,32.647697114184595,35.08238906727568,6,1.5,1.5,48000,4430
318,358,32.4864624,34.9024718,651,2.0,1.5,8000,4199
319,364,32.711291,34.9514904,721,2.0,1.5,8000,4186
320,17,32.71843229081725,34.94843853616225,2,1.5,2.0,75000,4186
321,313,31.58664298964033,34.566040750888796,34,4.0,1.5,8500,4111
322,59,31.587104443457168,34.5620621088933,4,1.8,1.5,40000,4111
323,318,32.6737335,35.2217993,73,1.8,1.5,8000,4105
