rank,lat,lon,road,zone,composite_score,alert_score_norm,border_proximity_score,nearby_alerts_marapr2026,road_risk,lanes_weight,status,relocated_from_lat,relocated_from_lon,nearest_city_when_relocated,moved_km
43,31.62693,34.58517,4,standard,0.4462,0.0577,0.8347,3157,4.0,2.0,relocated,31.61728,34.57889,אזור תעשייה הדרומי אשקלון,1.22
45,31.31579,34.52636,234,gaza,0.4444,0.002,0.8868,109,2.5,1.0,rural,,,,
46,32.06529,34.84479,כביש מכבית,standard,0.4403,0.8807,0.0,48224,4.0,2.0,urban_kept,,,,
47,31.76356,34.82792,כביש חוצה ישראל,standard,0.4382,0.5836,0.2928,31956,4.0,1.5,relocated,31.93613,34.92843,מצליח,21.37
48,31.82874,34.6686,41,standard,0.4379,0.4566,0.4193,25000,4.0,1.5,rural,,,,
49,32.15547,34.93688,531,standard,0.4348,0.8697,0.0,47623,4.0,1.5,urban_kept,,,,
50,32.91307,35.09619,עוקף עכו,standard,0.4336,0.219,0.6482,11993,3.5,1.5,rural,,,,
51,33.01828,35.33984,89,standard,0.4328,0.1814,0.6842,9934,3.5,1.5,rural,,,,
52,31.44527,34.57219,25,gaza,0.4309,0.0113,0.8504,620,3.5,1.5,rural,,,,
53,31.50966,34.58588,34,gaza,0.4286,0.0198,0.8375,1082,3.5,1.5,rural,,,,
54,33.1114,35.57259,90,north,0.4285,0.1453,0.7117,7954,3.5,1.5,rural,,,,
55,32.91472,35.22629,85,standard,0.4202,0.2751,0.5654,15064,3.5,1.5,rural,,,,
56,32.87698,35.17761,70,standard,0.4169,0.3068,0.527,16799,3.5,1.5,rural,,,,
57,32.12648,34.85975,כביש גהה,standard,0.4168,0.8335,0.0,45642,3.5,2.0,relocated,32.09185,34.84574,גבעת שמואל,4.06
58,31.47034,34.59295,34,gaza,0.4145,0.0113,0.8176,620,3.5,1.5,rural,,,,
59,32.97527,35.33861,864,standard,0.4129,0.2268,0.599,12417,2.5,1.5,relocated,32.99027,35.32012,ע'ג'ר,2.39
60,31.22312,34.50872,222,gaza,0.4103,0.0,0.8206,0,2.5,1.5,rural,,,,
61,31.53523,34.61384,232,gaza,0.4066,0.0285,0.7846,1562,2.5,1.5,rural,,,,
62,31.9486,34.80306,431,standard,0.4054,0.7556,0.0553,41374,4.0,1.5,urban_kept,,,,
63,33.0261,35.40521,89,standard,0.3973,0.1471,0.6475,8054,3.5,1.5,rural,,,,
64,33.04499,35.4276,899,standard,0.397,0.1266,0.6674,6933,2.5,1.0,rural,,,,
65,31.42469,34.60171,25,gaza,0.3968,0.0039,0.7897,211,3.5,1.5,rural,,,,
66,31.653,34.66405,35,standard,0.3927,0.1099,0.6755,6017,3.5,1.5,rural,,,,
67,31.20849,34.2876,232,gaza,0.3926,0.0,0.7852,0,2.5,1.5,rural,,,,
68,33.07267,35.5303,886,north,0.3925,0.1298,0.6551,7109,2.5,1.5,relocated,33.07241,35.51863,דישון,1.09
69,32.92466,35.29901,85,standard,0.3881,0.2472,0.529,13536,3.5,1.5,rural,,,,
70,32.90828,35.27578,784,standard,0.3791,0.2442,0.514,13370,2.5,1.0,rural,,,,
71,31.82584,34.95814,3,standard,0.3786,0.7466,0.0107,40881,3.5,1.5,relocated,31.85467,35.02867,גיזו,7.38
72,32.19266,34.90919,554,standard,0.3785,0.757,0.0,41453,2.5,1.0,urban_kept,,,,
73,31.31762,34.60265,241,gaza,0.3784,0.0,0.7567,0,2.5,1.5,rural,,,,
74,31.99043,34.79803,4,standard,0.3748,0.7495,0.0,41043,4.0,2.5,relocated,31.97858,34.79285,ראשון לציון,1.4
75,31.74875,34.88079,383,standard,0.368,0.5187,0.2173,28403,2.5,1.0,rural,,,,
76,32.88962,35.25865,784,standard,0.3666,0.2437,0.4896,13342,2.5,1.0,rural,,,,
77,33.0197,35.4405,89,standard,0.3657,0.1251,0.6064,6850,3.5,1.5,rural,,,,
78,33.0454,35.48964,886,standard,0.3656,0.1094,0.6217,5993,2.5,1.0,rural,,,,
79,32.83996,35.11552,79,standard,0.3645,0.2466,0.4823,13505,3.5,1.5,relocated,32.84393,35.10171,קריית ביאליק,1.36
