rank,lat,lon,road,zone,composite_score,nearby_alerts_marapr2026,highway_type,road_speed_kmh,catchment_per_dir_km,aadt_normal,aadt_wartime,estimated_people_in_catchment,base_capacity,suggested_capacity,capacity_upgraded,upgrade_reason,alert_seconds
197,32.67418,35.10376,כביש חוצה ישראל,Standard,0.1002,4459,motorway,100,8.33,13000,1300,25.3,30,30,no,,300
198,32.76387,35.37519,77,Standard,0.0964,2598,trunk,90,7.5,19000,1900,37.1,50,50,no,,300
199,31.50673,34.94324,358,Standard,0.0946,1527,primary,80,6.67,8000,800,15.6,20,20,no,,300
201,32.3855,35.01922,כביש חוצה ישראל,Standard,0.0921,10091,motorway,120,10.0,13000,1300,25.4,30,30,no,,300
202,30.96492,34.71583,211,Gaza envelope,0.0875,0,primary,80,6.67,8000,800,15.6,20,20,no,,300
204,31.20745,34.89689,25,Gaza envelope,0.0836,1014,trunk,90,7.5,7000,700,13.7,20,20,no,,300
206,31.67529,35.03189,367,Standard,0.0819,8965,primary,80,6.67,8000,800,15.6,20,20,no,,300
208,32.72877,35.32292,79,Standard,0.076,2016,primary,80,6.67,8000,800,15.6,20,20,no,,300
209,32.39496,35.04624,574,Standard,0.0757,8287,primary,80,6.67,8000,800,15.6,20,20,no,,300
210,32.41182,35.01958,9,Standard,0.0753,8249,trunk,90,7.5,8000,800,15.6,20,20,no,,300
211,31.34204,34.93297,60,Standard,0.0751,273,trunk,90,7.5,16000,1600,31.2,50,50,no,,300
212,31.00948,34.7797,40,Gaza envelope,0.0704,0,trunk,90,7.5,22000,2200,42.9,50,50,no,,300
213,30.98717,34.76682,40,Gaza envelope,0.0663,0,trunk,80,6.67,22000,2200,42.9,50,50,no,,300
214,31.27477,34.94342,31,Standard,0.0642,1231,trunk,90,7.5,6500,650,12.7,20,20,no,,300
215,32.70875,35.30998,דרך הציונות,Standard,0.0608,2017,trunk,90,7.5,8000,800,15.6,20,20,no,,300
